ticket_id,ticket_text,category,priority,department,sentiment,root_cause,resolution_steps,ticket_status,created_at,resolved_at,recommended_action
TKT-2473,CRITICAL: Need API keys generated for our new microservice.,Account/Access,Critical,IAM Team,Neutral,Offboarding workflow incomplete — manual step was missed,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,24-03-2026 02:26,24-03-2026 04:04,IMMEDIATE ESCALATION to IAM Team — Page on-call engineer
TKT-0118,"Proxy settings seem broken after the last update. Just curious about this, no hurry. Happy to provide more details if needed.",Network/VPN,Low,Infra Team,Neutral,Network switch firmware bug causing packet drops,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,04-05-2026 08:12,05-05-2026 00:13,Queue for Infra Team — Respond within 24 hours
TKT-3364,High Priority: Redis cache is not invalidating properly. Happy to provide more details if needed.,Database,High,DBA Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,03-06-2026 04:49,,Assign to DBA Team — Target 2-hour resolution
TKT-2046,Bulk user creation needed for 50 new interns joining Monday. This is just a general question.,Account/Access,Low,IAM Team,Neutral,Active Directory replication delay between domain controllers,"Unlocked account in Active Directory. Reset password. Advised user on password policy (12+ chars, no reuse).",Reopened,23-05-2026 23:27,24-05-2026 13:46,Queue for IAM Team — Respond within 24 hours
TKT-3625,Need to set up automated index maintenance schedules. Please look into this when you get a chance.,Database,Medium,DBA Team,Neutral,Missing index on frequently queried column causing full table scans,Rewrote query using CTEs and added pagination (LIMIT 1000). Query timeout resolved. Dashboard loading in 2s.,Closed,11-04-2026 07:59,11-04-2026 18:28,Queue for DBA Team — Standard SLA (8 hours)
TKT-1236,"Desktop fan is making very loud noise, might overheat soon. I have a workaround but it's slowing me down.",Hardware,Medium,Desktop Support,Neutral,Corrupted GPU driver causing blue screen crashes,Tested USB ports — rear port functional. Replaced wireless receiver. Updated mouse firmware to v2.1.,Closed,13-04-2026 08:04,13-04-2026 11:24,Queue for Desktop Support — Standard SLA (8 hours)
TKT-2401,Locked out of my account after too many wrong password attempts. This is just a general question.,Account/Access,Low,IAM Team,Neutral,Account lockout policy triggered after 5 failed login attempts,Reset NTFS permissions on shared folder. Re-applied inheritance. User confirmed access to all subfolders.,Closed,05-05-2026 05:16,05-05-2026 09:39,Queue for IAM Team — Respond within 24 hours
TKT-3497,Need to archive old records older than 3 years. This is just a general question. Happy to provide more details if needed.,Database,Low,DBA Team,Neutral,Backup storage volume reached capacity — backup job failed silently,Expanded backup storage by 500GB. Cleared old backups beyond retention. Backup job ran successfully.,Closed,29-04-2026 06:39,30-04-2026 14:48,Queue for DBA Team — Respond within 24 hours
TKT-4324,Need to disable TLS 1.0 and 1.1 on all our web servers. Would appreciate if this could be fixed today.,Security,Medium,Security Team,Neutral,Phishing email bypassed spam filter due to spoofed domain,Quarantined phishing email from all mailboxes. Added sender domain to block list. Sent awareness alert to users.,Closed,18-04-2026 02:32,18-04-2026 09:20,Queue for Security Team — Standard SLA (8 hours)
TKT-3900,Incident response plan needs to be updated and tested. Can't do any work until this is resolved. Love how efficient the IT team has been lately!,Security,High,Security Team,Positive,Phishing email bypassed spam filter due to spoofed domain,Completed vendor security assessment. Granted time-limited VPN access with MFA. Access expires in 30 days.,Closed,09-03-2026 04:39,09-03-2026 05:44,Assign to Security Team — Target 2-hour resolution
